time,wx,wy,wz
2020-12-08 8:56:55.2110,0.06,0.22,-0.13
2020-12-08 8:56:55.2110,0.06,0.22,-0.13
2020-12-08 8:56:55.2110,0.06,0.22,-0.13
2020-12-08 8:56:55.2110,0.06,0.22,-0.13
2020-12-08 8:56:55.2110,0.06,0.22,-0.13
2020-12-08 8:56:55.2260,0.23,0.13,-0.13
2020-12-08 8:56:55.2260,0.23,0.13,-0.13
2020-12-08 8:56:55.2360,0.38,0.3,-0.17
2020-12-08 8:56:55.2430,0.38,0.3,-0.17
2020-12-08 8:56:55.2560,0.48,0.31,-0.23
2020-12-08 8:56:55.2600,0.48,0.31,-0.23
2020-12-08 8:56:55.2770,0.43,0.29,-0.25
2020-12-08 8:56:55.2800,0.43,0.29,-0.25
2020-12-08 8:56:55.2970,0.48,0.43,-0.11
2020-12-08 8:56:55.3000,0.48,0.43,-0.11
2020-12-08 8:56:55.3240,0.8,0.48,0.1
2020-12-08 8:56:55.3240,0.8,0.48,0.1
2020-12-08 8:56:55.3360,1.06,0.49,0.17
2020-12-08 8:56:55.3400,1.06,0.49,0.17
2020-12-08 8:56:55.3560,0.89,0.66,0.13
2020-12-08 8:56:55.3600,0.89,0.66,0.13
2020-12-08 8:56:55.3770,0.18,0.35,-0.04
2020-12-08 8:56:55.3810,0.18,0.35,-0.04
2020-12-08 8:56:55.3970,-0.15,-0.28,0.05
2020-12-08 8:56:55.4000,-0.15,-0.28,0.05
2020-12-08 8:56:55.4240,0.47,-0.69,0.47
2020-12-08 8:56:55.4240,0.47,-0.69,0.47
2020-12-08 8:56:55.4360,1.36,-0.87,0.69
2020-12-08 8:56:55.4400,1.36,-0.87,0.69
2020-12-08 8:56:55.4570,1.68,-1.46,0.64
2020-12-08 8:56:55.4640,1.68,-1.46,0.64
2020-12-08 8:56:55.4770,1.29,-1.84,0.21
2020-12-08 8:56:55.4800,1.29,-1.84,0.21
2020-12-08 8:56:55.4970,0.33,-1.29,-0.71
2020-12-08 8:56:55.5000,0.33,-1.29,-0.71
2020-12-08 8:56:55.5230,0.06,-0.58,-0.96
2020-12-08 8:56:55.5230,0.06,-0.58,-0.96
2020-12-08 8:56:55.5360,0.21,-0.28,-0.73
2020-12-08 8:56:55.5400,0.36,-0.15,-0.61
2020-12-08 8:56:55.5570,0.44,0.05,-0.73
2020-12-08 8:56:55.5630,0.43,0.31,-0.94
2020-12-08 8:56:55.5770,-0.06,0.09,-1.38
2020-12-08 8:56:55.5810,-0.06,0.09,-1.38
2020-12-08 8:56:55.5970,-0.61,0.22,-0.85
2020-12-08 8:56:55.6010,-0.61,0.22,-0.85
2020-12-08 8:56:55.6270,-0.56,0.35,0.32
2020-12-08 8:56:55.6280,-0.56,0.35,0.32
2020-12-08 8:56:55.6370,-0.3,0.35,0.76
2020-12-08 8:56:55.6410,0.29,0.74,0.71
2020-12-08 8:56:55.6570,1.46,1.68,-0.08
2020-12-08 8:56:55.6630,2.42,1.3,-0.73
2020-12-08 8:56:55.6770,3.31,-1.57,-0.51
2020-12-08 8:56:55.6810,3.31,-1.57,-0.51
2020-12-08 8:56:55.6970,3.76,-2.39,-0.51
2020-12-08 8:56:55.7000,3.76,-2.39,-0.51
2020-12-08 8:56:55.7220,3.47,-2.16,-0.77
2020-12-08 8:56:55.7220,3.47,-2.16,-0.77
2020-12-08 8:56:55.7370,2.84,-1.46,-1.36
2020-12-08 8:56:55.7400,2.84,-1.46,-1.36
2020-12-08 8:56:55.7570,2.83,-1.81,-1.41
2020-12-08 8:56:55.7610,2.83,-1.81,-1.41
2020-12-08 8:56:55.7770,2.72,-2.12,-1.35
2020-12-08 8:56:55.7800,2.72,-2.12,-1.35
2020-12-08 8:56:55.7970,2.61,-2.1,-1.26
2020-12-08 8:56:55.8000,2.5,-2.06,-1.17
2020-12-08 8:56:55.8220,1.74,-2.57,-0.83
2020-12-08 8:56:55.8220,1.74,-2.57,-0.83
2020-12-08 8:56:55.8370,0.8,-3.08,-0.55
2020-12-08 8:56:55.8390,-0.42,-3.37,-0.46
2020-12-08 8:56:55.8570,-1.96,-2.76,-0.22
2020-12-08 8:56:55.8600,-1.96,-2.76,-0.22
2020-12-08 8:56:55.8770,-1.32,-0.37,0.63
2020-12-08 8:56:55.8800,-1.32,-0.37,0.63
2020-12-08 8:56:55.8970,-0.83,0.93,0.59
2020-12-08 8:56:55.9000,-0.83,0.93,0.59
2020-12-08 8:56:55.9230,-1.19,-0.5,-0.1
2020-12-08 8:56:55.9230,-1.19,-0.5,-0.1
2020-12-08 8:56:55.9370,-1.34,-2.37,-0.66
2020-12-08 8:56:55.9400,-1.34,-2.37,-0.66
2020-12-08 8:56:55.9570,-1.43,-2.6,-0.68
2020-12-08 8:56:55.9610,-1.43,-2.6,-0.68
2020-12-08 8:56:55.9770,-1.99,-0.91,-0.53
2020-12-08 8:56:55.9810,-1.99,-0.91,-0.53
2020-12-08 8:56:55.9960,-2.5,1.06,-0.76
2020-12-08 8:56:55.9970,-2.5,1.06,-0.76
2020-12-08 8:56:56.0280,-2.16,1.87,-0.6
2020-12-08 8:56:56.0280,-2.16,1.87,-0.6
2020-12-08 8:56:56.0370,-1.03,1.23,-0.11
2020-12-08 8:56:56.0420,-1.03,1.23,-0.11
2020-12-08 8:56:56.0580,0.03,-0.78,0.04
2020-12-08 8:56:56.0630,0.03,-0.78,0.04
2020-12-08 8:56:56.0780,0.64,-2.45,-0.15
2020-12-08 8:56:56.0810,0.64,-2.45,-0.15
2020-12-08 8:56:56.0970,0.62,-2.68,-0.53
2020-12-08 8:56:56.1010,0.62,-2.68,-0.53
2020-12-08 8:56:56.1280,0.19,-1.77,-1.06
2020-12-08 8:56:56.1280,0.19,-1.77,-1.06
2020-12-08 8:56:56.1370,-0.31,-0.53,-1.47
2020-12-08 8:56:56.1400,-0.31,-0.53,-1.47
2020-12-08 8:56:56.1570,-0.76,0.48,-1.63
2020-12-08 8:56:56.1620,-0.76,0.48,-1.63
2020-12-08 8:56:56.1770,-0.96,0.89,-1.63
2020-12-08 8:56:56.1810,-0.96,0.89,-1.63
2020-12-08 8:56:56.1970,-0.99,0.69,-1.48
2020-12-08 8:56:56.2010,-0.99,0.69,-1.48
2020-12-08 8:56:56.2250,-0.7,0.22,-1.31
2020-12-08 8:56:56.2260,-0.7,0.22,-1.31
2020-12-08 8:56:56.2370,-0.28,-0.29,-1.29
2020-12-08 8:56:56.2410,-0.28,-0.29,-1.29
2020-12-08 8:56:56.2580,0.65,-0.28,-0.99
2020-12-08 8:56:56.2590,0.65,-0.28,-0.99
2020-12-08 8:56:56.2770,1.31,-0.98,-0.42
2020-12-08 8:56:56.2800,1.31,-0.98,-0.42
2020-12-08 8:56:56.2970,0.68,-2.41,-0.46
2020-12-08 8:56:56.3010,0.68,-2.41,-0.46
2020-12-08 8:56:56.3280,-0.17,-2.92,-0.18
2020-12-08 8:56:56.3280,-0.17,-2.92,-0.18
2020-12-08 8:56:56.3370,-0.59,-1.93,0.16
2020-12-08 8:56:56.3400,-0.59,-1.93,0.16
2020-12-08 8:56:56.3580,-0.86,0.07,0.21
2020-12-08 8:56:56.3620,-0.86,0.07,0.21
2020-12-08 8:56:56.3780,-1.05,1.17,0.04
2020-12-08 8:56:56.3810,-1.05,1.17,0.04
2020-12-08 8:56:56.3970,-0.59,0.8,-0.11
2020-12-08 8:56:56.4010,-0.59,0.8,-0.11
2020-12-08 8:56:56.4270,0.56,-0.15,-0.13
2020-12-08 8:56:56.4270,0.56,-0.15,-0.13
2020-12-08 8:56:56.4370,1.52,-0.85,-0.11
2020-12-08 8:56:56.4400,1.52,-0.85,-0.11
2020-12-08 8:56:56.4580,1.63,-1.03,-0.25
2020-12-08 8:56:56.4640,1.63,-1.03,-0.25
2020-12-08 8:56:56.4780,0.95,-0.77,-0.5
2020-12-08 8:56:56.4820,0.95,-0.77,-0.5
2020-12-08 8:56:56.4970,0.49,-0.61,-0.68
2020-12-08 8:56:56.5020,0.05,-0.42,-0.9
2020-12-08 8:56:56.5270,-0.58,0.07,-1.24
2020-12-08 8:56:56.5270,-0.58,0.07,-1.24
2020-12-08 8:56:56.5370,-0.72,0.59,-1.27
2020-12-08 8:56:56.5410,-0.72,0.59,-1.27
2020-12-08 8:56:56.5580,-0.21,0.88,-1.07
2020-12-08 8:56:56.5640,-0.21,0.88,-1.07
2020-12-08 8:56:56.5780,0.44,0.72,-0.89
2020-12-08 8:56:56.5820,0.44,0.72,-0.89
2020-12-08 8:56:56.5980,0.62,0.52,-0.75
2020-12-08 8:56:56.6020,0.55,0.34,-0.57
2020-12-08 8:56:56.6290,-0.26,0.66,-0.43
2020-12-08 8:56:56.6290,-0.26,0.66,-0.43
2020-12-08 8:56:56.6380,-0.37,1.49,-0.24
2020-12-08 8:56:56.6410,-0.37,1.49,-0.24
2020-12-08 8:56:56.6580,0.56,1.33,0.36
2020-12-08 8:56:56.6620,0.56,1.33,0.36
2020-12-08 8:56:56.6780,1.05,-0.33,0.48
2020-12-08 8:56:56.6820,1.05,-0.33,0.48
2020-12-08 8:56:56.6980,0.6,-1.41,0.4
2020-12-08 8:56:56.7020,0.6,-1.41,0.4
2020-12-08 8:56:56.7280,-0.28,-0.88,0.65
2020-12-08 8:56:56.7290,-0.28,-0.88,0.65
2020-12-08 8:56:56.7380,-0.9,0.08,0.67
2020-12-08 8:56:56.7410,-0.9,0.08,0.67
2020-12-08 8:56:56.7580,-1.19,0.87,0.46
